PLACA;DEPARTAMENTO;CIUDAD;SERVICIO
HSM414;RISARALDA;LA VIRGINIA;PARTICULAR
HSM415;RISARALDA;LA VIRGINIA;PARTICULAR
MSM414;CORDOBA;MONTERIA;PARTICULAR
KTM413;VALLE;GUACARI;PARTICULAR
JVM411;HUILA;NEIVA;PARTICULAR
MVM414;CALDAS;MANIZALES;PARTICULAR
BWM418;ANTIOQUIA;SABANETA;PARTICULAR
CWM415;MAGDALENA;CIENAGA;PARTICULAR
SXM413;CAUCA;POPAYAN;PUBLICO
CZM418;MAGDALENA;CIENAGA;PARTICULAR
GZM412;CALDAS;MANIZALES;PARTICULAR
IAN417;SANTANDER;BUCARAMANGA;PARTICULAR
RAN415;ATLANTICO;BARRANQUILLA;PARTICULAR
RAN418;ATLANTICO;BARRANQUILLA;PARTICULAR
EBN413;VALLE;BUENAVENTURA;PARTICULAR
MBN419;VALLE;CALI;PARTICULAR
RBN410;ATLANTICO;BARRANQUILLA;PARTICULAR
RBN415;ATLANTICO;BARRANQUILLA;PARTICULAR
LCN412;ANTIOQUIA;MEDELLIN;PARTICULAR
EIN410;SANTANDER;BARRANCABERM;PARTICULAR
DJN412;CALDAS;LA DORADA;PARTICULAR
EJN414;CUNDINAMARCA;ZIPAQUIRA;PARTICULAR
WLN414;RISARALDA;LA VIRGINIA;PUBLICO
WLN415;RISARALDA;LA VIRGINIA;PUBLICO
WLN417;RISARALDA;LA VIRGINIA;PUBLICO
RNN419;VALLE;ROLDANILLO;PARTICULAR
FPN413;TOLIMA;FRESNO;PARTICULAR
SPN412;CUNDINAMARCA;CHIA;PUBLICO
TSN411;BOLIVAR;CARTAGENA;PUBLICO
LTN412;VALLE;TULUA;PARTICULAR
UTN414;META;VILLAVICENCI;PUBLICO
HVN413;QUINDIO;CALARCA;PARTICULAR
HVN419;QUINDIO;CALARCA;PARTICULAR
DWN412;CESAR;ROBLES (LA P;PARTICULAR
CXN414;MAGDALENA;CIENAGA;PARTICULAR
RZN417;BOGOTAD.E.;BOGOTA D.E.;PUBLICO
TAO411;ANTIOQUIA;MEDELLIN;PUBLICO
TAO413;ANTIOQUIA;MEDELLIN;PUBLICO
ABO417;BOGOTAD.E.;BOGOTA D.E.;PARTICULAR
CCO414;VALLE;CALI;PARTICULAR
LCO410;ANTIOQUIA;MEDELLIN;PARTICULAR
CDO419;VALLE;CALI;PARTICULAR
DDO416;CALDAS;LA DORADA;PARTICULAR
REO413;VALLE;CALI;PARTICULAR
VEO411;CALDAS;VILLAMARIA;PUBLICO
VEO418;CALDAS;VILLAMARIA;PUBLICO
IFO415;ANTIOQUIA;TURBO;PARTICULAR
FGO415;CAQUETA;FLORENCIA;PARTICULAR
JHO410;BOYACA;DUITAMA;PARTICULAR
JHO413;BOYACA;DUITAMA;PARTICULAR
JHO417;BOYACA;DUITAMA;PARTICULAR
QHO411;CUNDINAMARCA;CHIA;PARTICULAR
KJO413;VALLE;GUACARI;PARTICULAR
KJO416;VALLE;GUACARI;PARTICULAR
KJO419;VALLE;GUACARI;PARTICULAR
RJO414;VALLE;ROLDANILLO;PARTICULAR
HKO412;RISARALDA;PEREIRA;PARTICULAR
ELO418;CUNDINAMARCA;ZIPAQUIRA;PARTICULAR
EMO413;TOLIMA;ESPINAL;PARTICULAR
ENO412;TOLIMA;ESPINAL;PARTICULAR
RNO412;VALLE;ROLDANILLO;PARTICULAR
DOO416;RISARALDA;DOS QUEBRADA;PARTICULAR
EOO415;TOLIMA;ESPINAL;PARTICULAR
KOO415;VALLE;GUACARI;PARTICULAR
MOO413;CUNDINAMARCA;MOSQUERA;PARTICULAR
NOO417;BOYACA;NOBSA;PARTICULAR
OOO416;CHOCO;QUIBDO;OFICIAL
WOO410;QUINDIO;CALARCA;PUBLICO
WOO412;QUINDIO;CALARCA;PUBLICO
WOO413;QUINDIO;CALARCA;PUBLICO
WOO417;QUINDIO;CALARCA;PUBLICO
WPO417;QUINDIO;CALARCA;PUBLICO
EQO415;VALLE;LA UNION;PARTICULAR
JRO415;TOLIMA;HONDA;PARTICULAR
URO412;META;VILLAVICENCI;PUBLICO
DSO416;BOYACA;DUITAMA;PARTICULAR
DSO418;BOYACA;DUITAMA;PARTICULAR
GSO410;CAUCA;POPAYAN;PARTICULAR
HSO413;RISARALDA;LA VIRGINIA;PARTICULAR
HSO419;RISARALDA;LA VIRGINIA;PARTICULAR
JSO419;TOLIMA;MELGAR;PARTICULAR
OSO416;CORDOBA;CHINU;OFICIAL
BTO419;SANTANDER;BUCARAMANGA;PARTICULAR
HTO410;QUINDIO;ARMENIA;PARTICULAR
CVO414;MAGDALENA;CIENAGA;PARTICULAR
SWO412;CAUCA;POPAYAN;PUBLICO
FXO417;CUNDINAMARCA;FACATATIVA;PARTICULAR
DBP412;CALDAS;LA DORADA;PARTICULAR
FCP418;CUNDINAMARCA;SOACHA;PARTICULAR
FCP419;CUNDINAMARCA;SOACHA;PARTICULAR
RCP414;ATLANTICO;BARRANQUILLA;PARTICULAR
WDP410;CALDAS;ANSERMA;PUBLICO
