PLACA;DEPARTAMENTO;CIUDAD;SERVICIO
BUT279;BOLIVAR;TURBACO;PARTICULAR
PNA245;CORDOBA;MONTERIA;PARTICULAR
MAS433;CALDAS;MANZANARES;PARTICULAR
SQV312;CUNDINAMARCA;FACATATIVA;PUBLICO
EPA201;VALLE;LA UNION;PARTICULAR
ZII584;CUNDINAMARCA;ZIPAQUIRA;PARTICULAR
OIA264;CUNDINAMARCA;FACATATIVA;OFICIAL
BME910;BOLIVAR;TURBACO;PARTICULAR
TRM372;BOYACA;MIRAFLORES;PUBLICO
DXZ374;META;RESTREPO;PARTICULAR
CIK792;CUNDINAMARCA;CHIA;PARTICULAR
BMJ557;BOLIVAR;TURBACO;PARTICULAR
QFQ744;META;VILLAVICENCI;PARTICULAR
BDB837;BOLIVAR;TURBACO;PARTICULAR
GGO263;HUILA;CAMPOALEGRE;PARTICULAR
COW817;CUNDINAMARCA;MINISTERIO T;PUBLICO
FDQ747;CUNDINAMARCA;FUSAGASUGA;PARTICULAR
UPN237;CORDOBA;MONTERIA;PUBLICO
BFI844;BOLIVAR;TURBACO;PARTICULAR
MAO338;CALDAS;MANZANARES;PARTICULAR
