RANGO_INICIAL;RANGO_FINAL;DEPARTAMENTO;CIUDAD;SERVICIO
ICA000;ICJ999;SANTANDER;BUCARAMANGA;PARTICULAR
IDA000;IDF200;SANTANDER;BUCARAMANGA;PARTICULAR
IDF201;IDG872;SANTANDER;BUCARAMANGA;PARTICULAR
IDG873;IDH812;SANTANDER;BUCARAMANGA;PARTICULAR
IDJ000;IDJ999;SANTANDER;BUCARAMANGA;PARTICULAR
IGG000;IGG200;ANTIOQUIA;TURBO;PARTICULAR
IKK000;IKR999;NARINO;TUQUERRES;PARTICULAR
IMJ001;IMJ300;NARINO;IPIALES;PARTICULAR
INA000;INE999;SANTANDER;BARRANCABERM;PARTICULAR
INF001;INI000;VALLE;CALI;PARTICULAR
INJ000;INJ999;SANTANDER;BARRANCABERM;PARTICULAR
IOA000;IOA499;CASANARE;YOPAL;PARTICULAR
IOK000;IOM999;CASANARE;YOPAL;PARTICULAR
IPA000;IPB700;SANTANDER;SAN GIL;PARTICULAR
IPB701;IPC700;SANTANDER;BUCARAMANGA;PARTICULAR
IPC701;IPC999;CUNDINAMARCA;MINISTERIO T;PARTICULAR
IPJ000;IPJ999;SANTANDER;SAN GIL;PARTICULAR
IPK000;IPP999;NARINO;IPIALES;PARTICULAR
IRE000;IRF550;SANTANDER;BARBOSA;PARTICULAR
ISE000;ISF900;SANTANDER;SOCORRO;PARTICULAR
ISJ001;ISJ900;SANTANDER;MALAGA;PARTICULAR
ISK000;ISO999;CHOCO;ISTMINA;PARTICULAR
ITA000;ITH200;NORTESANTAN;CUCUTA;PARTICULAR
ITJ000;ITJ999;NORTESANTAN;CUCUTA;PARTICULAR
ITK000;IUP999;ANTIOQUIA;ITAGUI;PARTICULAR
IWE000;IWF600;NORTESANTAN;OCANA;PARTICULAR
IWJ001;IWJ700;NORTESANTAN;CONVENCION;PARTICULAR
IXA000;IXA874;NORTESANTAN;PAMPLONA;PARTICULAR
IXE000;IXE499;VALLE;CAICEDONIA;PARTICULAR
IXJ001;IXJ999;NORTESANTAN;PAMPLONA;PARTICULAR
IYA000;IYJ999;CESAR;VALLEDUPAR;PARTICULAR
IZE000;IZF800;CESAR;AGUACHICA;PARTICULAR
IZH000;IZH660;CAUCA;PUERTO TEJAD;PARTICULAR
IZJ000;IZJ500;CESAR;VALLEDUPAR;PARTICULAR
JAA000;JAI850;BOYACA;TUNJA;PARTICULAR
JAJ000;JAJ999;BOYACA;TUNJA;PARTICULAR
JAT000;JAZ999;VALLE;JAMUNDI;PARTICULAR
JFE000;JFG200;BOYACA;GUATEQUE;PARTICULAR
JFG201;JFG600;META;VILLAVICENCI;PARTICULAR
JGA000;JGC500;BOYACA;SOGAMOSO;PARTICULAR
JGC501;JGE500;BOGOTAD.E.;BOGOTA D.E.;PARTICULAR
JGJ000;JGJ999;BOYACA;SOGAMOSO;PARTICULAR
JHA000;JHA400;BOYACA;PUERTO BOYAC;PARTICULAR
JHJ001;JHJ999;BOYACA;PUERTO BOYAC;PARTICULAR
JIA000;JID700;BOYACA;DUITAMA;PARTICULAR
JIJ001;JIJ999;BOYACA;DUITAMA;PARTICULAR
JJA000;JJG986;BOYACA;CHIQUINQUIRA;PARTICULAR
JJJ001;JJJ999;BOYACA;CHIQUINQUIRA;PARTICULAR
JKA000;JKJ999;TOLIMA;IBAGUE;PARTICULAR
JLA000;JLC000;TOLIMA;IBAGUE;PARTICULAR
JLJ001;JLJ999;TOLIMA;IBAGUE;PARTICULAR
JOA000;JOB300;TOLIMA;GUAYABAL;PARTICULAR
JOJ001;JOJ999;TOLIMA;GUAYABAL;PARTICULAR
JPA000;JPC200;TOLIMA;ESPINAL;PARTICULAR
JPJ001;JPJ999;TOLIMA;ESPINAL;PARTICULAR
JQD000;JQD700;NORTESANTAN;CUCUTA;PARTICULAR
JQJ001;JQJ100;CUNDINAMARCA;CHOCONTA;PARTICULAR
JQJ101;JQJ500;CUNDINAMARCA;FUSAGASUGA;PARTICULAR
JQJ501;JQJ600;CUNDINAMARCA;CHOCONTA;PARTICULAR
JRA000;JRA100;TOLIMA;CHAPARRAL;PARTICULAR
JRE000;JRG500;TOLIMA;GUAMO;PARTICULAR
JRG501;JRG700;TOLIMA;LERIDA;PARTICULAR
JRJ001;JRJ999;TOLIMA;CHAPARRAL;PARTICULAR
JSA000;JSB600;TOLIMA;HONDA;PARTICULAR
JSE000;JSF100;TOLIMA;LIBANO;PARTICULAR
JSJ001;JSJ999;TOLIMA;HONDA;PARTICULAR
JTA000;JTB400;TOLIMA;MELGAR;PARTICULAR
JTB401;JTB600;TOLIMA;ESPINAL;PARTICULAR
JTE000;JTF100;TOLIMA;PURIFICACION;PARTICULAR
JTJ000;JTJ999;TOLIMA;MELGAR;PARTICULAR
JUB000;JUB800;TOLIMA;FRESNO;PARTICULAR
JUD000;JUI999;VALLE;CALI;PARTICULAR
JUJ001;JUJ800;TOLIMA;MARIQUITA;PARTICULAR
JVA001;JVJ999;HUILA;NEIVA;PARTICULAR
JWA000;JWA500;HUILA;NEIVA;PARTICULAR
JWC000;JWI999;VALLE;YUMBO;PARTICULAR
JWJ000;JWJ999;HUILA;NEIVA;PARTICULAR
JWK000;JWN999;VALLE;YUMBO;PARTICULAR
JZA000;JZA300;HUILA;GARZON;PARTICULAR
JZE000;JZF000;HUILA;PITALITO;PARTICULAR
JZJ001;JZJ999;HUILA;GARZON;PARTICULAR
KAA000;KAJ999;ANTIOQUIA;MEDELLIN;PARTICULAR
KBA000;KBJ999;ANTIOQUIA;MEDELLIN;PARTICULAR
KCA000;KCJ999;ANTIOQUIA;MEDELLIN;PARTICULAR
KDA000;KDJ999;ANTIOQUIA;MEDELLIN;PARTICULAR
KEA000;KEJ999;ANTIOQUIA;MEDELLIN;PARTICULAR
KFA000;KFJ999;ANTIOQUIA;MEDELLIN;PARTICULAR
KGJ000;KGJ101;ANTIOQUIA;MEDELLIN;PARTICULAR
KGJ501;KGJ999;CUNDINAMARCA;MINISTERIO T;PARTICULAR
KGK000;KGK100;CAUCA;MIRANDA;PARTICULAR
KUK000;KUN999;VALLE;GUACARI;PARTICULAR
LAA000;LCH999;ANTIOQUIA;BELLO;PARTICULAR
